did,mid,name,year,gender,country
361760,1022725,Michael Comins,,1,United States
263461,1082048,Luqman Ali,1939,1,United States
230694,328224,Marcus Belgrave,1936,1,United States
230693,328222,David Durrah,,1,United States
3638563,770923,Kait Dunton,,2,Los Angeles
263472,79792,Johnny Mandel,1925,1,United States
230725,384562,Bobby Sparks,1973,1,United States
230726,131211,The RH Factor,,,United States
394571,1143823,Jim Paris,1957,1,United Kingdom
394572,1143826,Gerry Darby,1959,1,Manchester
394573,1143825,Carmel McCourt,1958,2,Manchester
689486,1223123,Jan Philipp Janzen,,1,Germany
591191,493612,Timo Paasonen,1961,1,Finland
361824,382346,Pete Beachill,,1,United Kingdom
361827,807821,Abraham Kobena Adzenyah,,1,United States
361830,381065,Anthony Davis,1951,1,United States
263532,64522,Moondog,1916,1,United States
394607,406475,David Tronzo,1957,1,United States
394609,882103,Bryan Carrott,,1,United States
1396,8190,The Brand New Heavies,1985,,United Kingdom
97971,386389,Jean-Philippe Goude,1952,1,France
1049975,1600886,Vincent Davis,1957,1,Chicago
132473,238371,Harvey Mason Jr.,1968,1,United States
394622,61037,Grant Geissman,1953,1,United States
394623,803164,James Bradley Jr.,,1,United States
132482,53335,Irakere,1973,,Cuba
34183,4325,Carmen McRae,1920,2,United States
1410444,423489,Lars Danielsson,1958,1,Sweden
99731,9093,John Zorn,1953,1,United States
1475989,1004946,Hachig Kazarian,,,Armenia
722331,281454,Sukellusvene,,,Finland
2590111,930065,Binker Golding,,1,United Kingdom
984481,2292470,Gianni Zilioli,,1,Italy
656799,2479730,Roger Bobo,1938,1,United States
656806,637547,Marcia Van Dyke,1922,2,United States
296362,689800,Rick Gardner,1948,1,United States
656816,1647007,Sara Schoenbeck,,2,Brooklyn
132535,24183,Marc Ribot,1954,1,United States
296377,377073,Rune Kristoffersen,1957,1,Norway
329160,1020529,Charles Johnson,1953,1,United States
329161,542975,Hugo Fattoruso,1943,1,Uruguay
361931,283776,John Dieterich,,1,United States
591321,1188961,Sergio Barrozo,1942,1,Brazil
67040,32254,Najee,1957,1,United States
1017318,72151,Camané,1967,1,Portugal
198122,556843,Clare Connors,1963,2,United Kingdom
263663,141747,Universal Congress Of,1986,,United States
1770994,1391256,Teddy Davis,,1,United States
132603,4309,Michael Franks,1944,1,United States
591361,374543,Mazz Swift,,2,United States
591373,1160758,Stein Urheim,1979,1,Norway
525838,252402,Howard Levy,1951,1,United States
1213967,423948,Jan Reimer,,1,Germany
1312280,2119208,David Casamitjana,1964,1,Catalunya
296478,971464,Paul Winter,,1,United States
296479,63814,Oscar Castro‐Neves,1940,1,Brazil
329251,910818,George Barrow,1921,1,United States
493115,825659,川島裕二,1960,1,Japan
656964,451902,Martin Slavin,1922,1,United Kingdom
198223,914074,Jean‐Jacques Birgé,1952,1,France
427601,256025,Jessica Lurie,1967,2,United States
165461,1233920,Jeff Kent,,1,United States
3376734,1481876,Luis Casalla,,1,Argentina
558698,1799595,Bob Weiner,,1,United States
263794,206512,Bennie Green,1923,1,United States
263796,50097,Zoot Sims,1925,1,United States
165496,382681,Michael O’Reilly,,1,United States
231034,384644,Larry Rosen,1940,1,United States
493177,462043,Alex Ligertwood,1946,1,United Kingdom
329354,361858,Brian Christian,,1,United States
67210,239404,Ron Saint Germain,,1,United States
296605,1034808,Rudy Copeland,,1,United States
296606,809987,Mark Elf,1949,1,United States
1607337,698635,Kristen Schaal,1978,2,Los Angeles
362162,1172538,Janice Robinson,1951,2,United States
384314,343789,Dead Combo,2003,,Portugal
3966653,1290890,Aaron Burnett,1981,1,United States
3245765,1642459,Julius Heise,1987,1,Germany
329418,3558,Dixie Dregs,1970,,United States
394967,486490,Ippe Kätkä,,1,Finland
1214177,1064031,Howard McRae,,1,United States
1770,21571,Nils Petter Molvær,1960,1,Norway
722667,719252,Thierno Koite,,1,Senegal
394989,1313755,John Davis,,1,Brooklyn
526066,558794,Martin Winch,1949,1,New Zealand
493299,703425,"木村""キムチ""誠",1954,1,Japan
591604,453857,Hans Cleuver,1947,1,Netherlands
67326,183607,Daniel Moreno,,1,New York
231167,437062,Ingebrigt Håker Flaten,1971,1,Norway
231168,437060,Paal Nilssen-Love,1974,1,Norway
296707,431778,Peter Kowald,1944,1,Germany
296709,337165,Pierre Favre,1937,1,Switzerland
296710,350315,Irène Schweizer,1941,2,Switzerland
3835660,1772893,Åshild Skiri Refsdal,1972,2,Norway
263953,33953,Ray Anthony,1922,1,United States
5637910,1368551,Mali Obomsawin,,2,Maine
1818,109810,Bill Summers,1948,1,United States
132900,384637,Nick Moroch,,1,United States
67370,368183,Bob Power,1952,1,United States
2852653,1283989,Thiago França,1980,1,São Paulo
362294,379936,Todd Fairall,,1,United States
5539639,1665200,Ishmael Ensemble,2017,,United Kingdom
3802941,959292,Fred Jackson Jr.,1945,1,United States
329535,1906330,Jean-Paul Asseline,,1,France
296777,177221,本田雅人,1962,1,Japan
296794,397123,渕野繁雄,1949,1,Japan
886621,1243331,Bård Enerstad,,1,Norway
3540839,580989,Ruben Lopez Furst,1937,1,Argentina
821141,712105,Tim Albright,,1,United States
395165,595906,Ray Edenton,1926,1,United States
1116065,1249609,Furio Chirico,1952,1,Italy
1116067,1249607,Marco Gallesi,1954,1,Italy
395174,868300,Bobby Thompson,1937,1,United States
296874,274805,Daniel Kobialka,1943,1,United States
3114923,908659,uKanDanZ,,,Lyon
3114925,1358076,Damien Cluzel,,1,France
591795,680416,Neil Ochoa,,1,New York
4097973,1896180,Vicky Mettler,,2,Canada
1968057,528641,Miloš Valent,1960,1,Slovakia
165824,8990,Arthur Blythe,1940,1,United States
427973,261153,Margriet Eshuijs,1952,2,Netherlands
427980,370416,Larry Londin,1943,1,United States
427983,119032,Paul Yandell,,1,United States
296931,394899,Kristian Schultze,1945,1,Germany
