jockey shabalala;music of Africa,a cappella
msizi shabalala;music of Africa,a cappella
jabulani dubazana;music of Africa,a cappella
thulani shabalala;music of Africa,a cappella
thamsanga shabalala;music of Africa,a cappella
sibongiseni shabalala;music of Africa,a cappella
d'angelo;neo soul,jazz fusion,rhythm and blues,contemporary R&B
pino palladino;rhythm and blues,neo soul,jazz fusion,jazz,contemporary R&B
shelby j.;soul music,rhythm and blues,pop music,neo soul,jazz fusion,funk,rock music
questlove;hip hop culture,rhythm and blues,neo soul,jazz fusion,alternative hip hop
spanky alford;rhythm and blues,gospel music,neo soul,jazz fusion,blues,contemporary R&B
frank lacy;bebop,music of Latin America,rhythm and blues,neo soul,jazz fusion,jazz,Afro-Cuban jazz
anthony hamilton;neo soul,jazz fusion,rhythm and blues
june bervine;neo soul,jazz fusion,rhythm and blues
norris jones;neo soul,jazz fusion,rhythm and blues
franklin walker;neo soul,jazz fusion,rhythm and blues
russell gunn;neo soul,jazz fusion,rhythm and blues,jazz-funk
jacques szwarcbart;neo soul,jazz fusion,rhythm and blues
jack king;neo soul,jazz fusion,rhythm and blues
candy dulfer;traditional folk music,soul music,disco,cool jazz,blues,funk,rock music
thomas bank;cool jazz,soul music,funk,disco
ulco bed;cool jazz,soul music,funk,disco
peter lieberom;cool jazz,soul music,funk,disco
jan van duikeren;soul music,rhythm and blues,disco,cool jazz,funk
manuel hugas;cool jazz,soul music,funk,disco
roger happel;cool jazz,soul music,funk,disco
oscar kraal;soul music,funk,disco
mart'nália;música popular brasileira,reggae,music of Brazil,bossa nova,samba
martinho da vila;bossa nova,música popular brasileira,samba,music of Brazil
dona ivone lara;música popular brasileira,samba
analimar mendonça ferreira ventapane;music of Brazil,música popular brasileira,samba,reggae
wanderson martins;música popular brasileira,samba,music of Brazil
marcelo moreira;música popular brasileira,samba,music of Brazil
juliana mendonça ferreira;música popular brasileira,samba,music of Brazil
fernando merlino;música popular brasileira,samba
claudio jorge;música popular brasileira,samba
ivan machado;música popular brasileira,samba
ordico nato;música popular brasileira,samba
paulo ferreira;música popular brasileira,samba
antonio ferreira;música popular brasileira,samba
herbert vianna;reggae,ska,music of Brazil,alternative rock,new wave,rock music
bi ribeiro;reggae,ska,music of Brazil,alternative rock,new wave,rock music
joão barone;reggae,ska,music of Brazil,alternative rock,new wave,rock music
eduardo lyra;ska,alternative rock,new wave,reggae
joão fera;ska,alternative rock
demetrio bezerra;ska,alternative rock
bidu cordeiro;ska,alternative rock
monteiro junior;ska,alternative rock
femi kuti;Afrobeat,jazz
adeyinka osindeinde;Afrobeat
seyi clegg;Afrobeat
olugbenga laleye;Afrobeat
tiwalade ogunlowo;Afrobeat
samuel oluwole;Afrobeat
olufemi fadipe;Afrobeat
abayomi oluwole;Afrobeat
tony ifedayo adejanyu;Afrobeat
tosin aribisala;Afrobeat
olugbenga obisesan;Afrobeat
olusegun damisi;Afrobeat
yeni kuti;Afrobeat
oyefunke anikulapo kuti;Afrobeat
folashade alalade;Afrobeat
alceu valença;música popular brasileira
ceceu valença;música popular brasileira
paulo rafael;música popular brasileira
lui coimbra;música popular brasileira,rock music
edwin;música popular brasileira
chiquinho do acordeon;música popular brasileira
hebert azul;música popular brasileira
olivio souza;music of Brazil
ana araujo;music of Brazil
lourdes araujo;music of Brazil
cesar michiles;music of Brazil
carla bezee;music of Brazil
suetonio cavalcanti;music of Brazil
ana verissimo;music of Brazil
lucas dos prazeres;music of Brazil
tostão queiroga;music of Brazil
braulio araujo;music of Brazil
elba ramalho;música popular brasileira,reggae,music of Brazil,pop music,samba,bossa nova
ranieri oliveira;music of Brazil
nilson amarante;music of Brazil
luciano magno;music of Brazil
marcos ancanso;music of Brazil
andre rio;music of Brazil
paulo heman;música popular brasileira,music of Brazil
naná vasconcelos;music of Brazil,Latin jazz,world music,jazz fusion,jazz
enok chagas;música popular brasileira,music of Brazil
spok;música popular brasileira,big band,music of Brazil
claudia gomes;música popular brasileira,music of Brazil
paulinho andrade;música popular brasileira,music of Brazil
marcelo alves;música popular brasileira,music of Brazil
emanuele araujo;music of Brazil
andré santana;music of Brazil
nino moura;music of Brazil
moisés gabrielli;music of Brazil
fabio slow;music of Brazil
ricardo guerra;music of Brazil
romilton marques;music of Brazil
rodrigo selman;music of Brazil
keith jarrett;jazz
gary peacock;jazz
jack dejohnette;post-bop,jazz fusion,jazz,free jazz
leo tardin;post-bop,jazz fusion
george benson;big band,hip hop culture,soul music,rhythm and blues,pop music,jazz fusion,funk,jazz-funk,blues,swing music,crossover jazz,jazz,contemporary R&B
diana krall;pop music,blues,jazz
ben wolfe;pop music,blues,jazz
dan fachule;pop music,jazz
rodney green;pop music,jazz
michael o'neill;soul music,rhythm and blues,jazz fusion,funk,jazz-funk,crossover jazz,jazz,contemporary R&B
stanley banks;soul music,rhythm and blues,jazz fusion,funk,jazz-funk,crossover jazz,jazz,contemporary R&B
thom hall;soul music,rhythm and blues,jazz fusion,funk,jazz-funk,crossover jazz,jazz,contemporary R&B
dio saucedo;soul music,rhythm and blues,jazz fusion,funk,crossover jazz,jazz,contemporary R&B
michael white;rhythm and blues,jazz fusion,jazz-funk,crossover jazz,jazz,Afro-Cuban jazz
david witham;soul music,rhythm and blues,jazz fusion,jazz-funk,crossover jazz,jazz,contemporary R&B
rubén blades;Latin jazz,pop music,world music,bossa nova,salsa
walter flores;pop music,salsa,Latin jazz
alfredo poveda solorzano;pop music,salsa,Latin jazz
rames araya;pop music,salsa,Latin jazz
lalo rojas;pop music,salsa,Latin jazz
ricardo ramirez alfaro;pop music,salsa,Latin jazz
edín solís;pop music,salsa,Latin jazz
marco linares;pop music,salsa,Latin jazz
marco navarro;pop music,salsa,Latin jazz
andrés león rodríguez;pop music,salsa,Latin jazz
carlos vargas;pop music,salsa,Latin jazz
carlomagno araya;pop music,salsa,Latin jazz
oscar jr seaton;soul music,pop music,funk,rock music,jazz
lionel richie;pop music,soul music,rock music
chuckii booker;pop music,soul music,rock music
don boyette;pop music,soul music,rock music
dino soldo;pop music,soul music,rock music
taku hirano;pop music,soul music,rock music
ben mauro;pop music,soul music,rock music
habib faye;music of Africa,jazz,reggae
jimi mbaye;music of Africa,jazz,reggae
youssou n'dour;music of Africa,Afrobeat,jazz,reggae
pape oumar ngom;music of Africa,Afrobeat,jazz,reggae
assane thiam;music of Africa,Afrobeat,jazz,reggae
babacar "mbaye dièye faye" faye;music of Africa,Afrobeat,jazz,reggae
ibrahima cissé;music of Africa,Afrobeat,jazz,reggae
alain berge;music of Africa,jazz
christian polloni;music of Africa,jazz
valerie belinga;music of Africa,jazz
pat metheny;bebop,post-bop,free jazz,jazz fusion,hard bop,jazz
larry goldings;post-bop,pop music,jazz fusion,vocal music,rock music,jazz
michael brecker;post-bop,big band,free jazz,Afrobeat,jazz fusion,jazz-funk,hard bop,jazz
bill stewart;post-bop,jazz fusion,jazz,acid jazz
john lewis;bebop,hard bop,cool jazz,boogie-woogie,jazz
brian villafana;world music
robby charles;world music
andre bushy;world music
telesford matthews;world music
dwayne cadore;world music
malcolm sullivan;world music
victor perez;world music
josephe d'arceuil;world music
reon patterson;world music
cheo cato;world music
noble babb;world music
wayne osuna;world music
clifton allen;world music
mungal patasar;world music
mark dopson;music of Africa,world music
jack samuel;world music
corey wallace;music of Africa,world music
wayne tobitt;world music
prashant patasar;world music
dawnd orr;world music
harold headley;world music
earl carnawon;world music
bryan williams;music of Africa,jazz fusion,free jazz
roger roberts;music of Africa
wendell manwarren;music of Africa
stanton kewley;music of Africa
samuel jack;music of Africa
michael "ming" low chew tung;music of Africa
selwyn henry;music of Africa
taj mahal;traditional folk music,reggae,music of the Caribbean,rhythm and blues,world music,jazz fusion,blues,rock and roll,country music,rock music
pancho graham;world music,blues,reggae
kester smith;traditional folk music,reggae,music of the Caribbean,rhythm and blues,world music,jazz fusion,blues,rock music
pat crocket;world music,blues,reggae
michael barretto;world music,blues,reggae
wayne jacintho;world music,blues,reggae
fred lunt;world music,blues,reggae
carlos andrade;world music,blues,reggae
rudy costa;reggae,music of the Caribbean,world music,jazz fusion,blues,rock music
adrian sieber;alternative rock,pop music,rock music
thomas rechberger;alternative rock,pop music,rock music
stefan wagner;hip hop culture,alternative rock,pop music,funk,rock music
simon ramseier;alternative rock,pop music,rock music
sebastian hausmann;alternative rock,pop music
ian gillan;progressive rock,psychedelic rock,hard rock,rock and roll,blues,rock music
steve morse;progressive rock,psychedelic rock,hard rock,rock and roll,jazz fusion,blues,rock music
roger glover;progressive rock,psychedelic rock,hard rock,rock and roll,blues,rock music
ian paice;progressive rock,psychedelic rock,hard rock,rock and roll,blues,rock music
jon lord;hard rock,progressive rock,psychedelic rock,rock music
nawfel;hard rock,progressive rock,psychedelic rock
jim wilson;heavy metal,soul music,hard rock,blues,rock music
henry rollins;hard rock,heavy metal
marcus blake;hard rock,heavy metal
jason mackenroth;hard rock,heavy metal
jean-pierre schaller;bebop,post-bop,jazz,avant-garde music
anne-florence schneider;bebop,post-bop
damien ramseyer;bebop,post-bop,big band,classical music
samuel huguenin;bebop,post-bop
daniel nole;bebop,post-bop
martin mital;bebop,post-bop
gilles dupuis;bebop,post-bop
ron carter;bebop,post-bop,jazz
james williams;bebop,post-bop,big band,hard bop,Afro-Cuban jazz
donald harrison;bebop,post-bop,hard bop,jazz
billy cobham;bebop,post-bop,big band,indie rock,disco,jazz fusion,jazz-funk,acid jazz,jazz
jimmy scott;swing music,bebop,crossover jazz,Dixieland jazz
michael kanan;swing music
hill greene;swing music
dwayne broadnax;swing music
justin robinson;swing music
stephan eicher;traditional folk music,Gypsy jazz,pop music,world music,indie pop,rock music
