"id","rank","rating","year"
10212402,1828,3.96,1988
20492842,1829,3.61,2000
8551055,1831,3.53,2014
25949773,1832,3.37,2023
2660757,1833,3.74,1980
20151679,1834,3.98,2021
12066696,1838,3.38,2018
6698137,1841,4.02,1971
8044264,1842,3.64,1987
8025265,1845,3.58,1998
12439544,1846,3.86,1967
1472180,1849,3.71,1996
1547242,1850,3.77,1954
11611809,1851,3.57,2006
2814661,1853,3.9,2006
5045022,1854,3.92,1985
5216576,1855,3.95,1984
4810943,1858,3.55,1995
5188442,1860,3.87,2002
7978332,1863,3.86,1991
2030746,1866,3.56,2005
1006571,1870,3.89,1985
13777245,1871,3.36,2019
8757414,1873,4.0,1984
12609130,1875,3.71,1967
2712508,1876,3.82,1987
546244,1880,3.39,1973
2989267,1882,3.46,1997
5171918,1883,3.79,1994
4658516,1885,3.82,2011
230457,1886,3.3,1970
7305125,1887,3.81,2004
4896014,1891,3.8,1999
1172619,1893,3.48,1983
16092844,1894,3.45,2020
10959201,1895,3.75,2017
9919791,1896,3.83,1990
2283634,1897,3.27,1994
7409847,1900,3.79,1979
3108431,1901,4.13,1968
929004,1902,3.75,2000
18149017,1903,3.4,2021
2818666,1907,3.32,1983
